	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
27	3.63235	2.29802	8.32062	1.93452	15.96914	1.28811	-0.05669	1.67417	-4.35255	2.71697	5.07792	0.53985	1.96857	0.56223	4.31370	5.30235	6.01491	7.48859	5.44238	9.08565	9.06162	10.52485	16.27136	14.99741	17.93766	14.65538	15.98391	2.42957	-1.21188	-0.66436	-0.78008	-1.90533	-8.22944	-3.86646	-3.40896	5.66328	5.40800	4.66328	4.57712
28	3.63206	2.31258	8.39938	1.99203	15.96202	1.18827	0.20872	1.68852	-3.84608	2.95863	5.04614	0.77233	2.06865	0.43146	4.50124	5.15303	6.00591	7.55596	5.38283	9.44038	9.10000	10.51771	16.37053	15.11050	17.83050	14.89656	15.60201	2.64817	-1.15128	-0.03932	-0.62269	-1.15170	-8.06878	-3.05233	-3.11153	5.69883	5.68971	4.16440	4.63161
29	3.54924	2.21933	8.37990	1.93519	15.96298	1.11721	0.48625	1.74853	-3.31263	3.15248	5.19742	0.99233	2.16628	0.37823	4.54874	4.86950	5.78346	7.59110	5.43160	9.61077	8.92256	10.34349	16.41706	15.27864	17.72979	15.10519	15.28423	2.90639	-1.08586	0.55408	-0.42963	-0.48925	-7.81516	-2.18989	-2.75623	5.94992	6.11342	4.08306	4.64329
30	3.39573	2.06407	8.37364	1.82592	15.86364	1.09151	0.76230	1.83182	-2.75121	3.30456	5.57167	0.98852	2.24649	0.36265	4.51787	4.38752	5.46414	7.70702	5.57164	9.67856	8.74959	10.16143	16.34356	15.38851	17.55374	14.92466	15.10774	3.18659	-1.00203	1.08766	-0.22301	0.07829	-7.47681	-1.24396	-2.36235	6.31271	6.53528	4.69775	4.74095
31	3.26960	1.91830	8.43655	1.71993	15.73239	1.04716	1.04541	1.92675	-2.17127	3.45546	6.03362	0.88448	2.35155	0.38320	4.47006	3.97416	5.16904	7.89645	5.76404	9.68466	8.74381	10.09379	16.18865	15.43207	17.30646	14.62898	15.10581	3.47329	-0.88995	1.62846	-0.03017	0.63975	-7.08381	-0.23239	-2.00863	6.71947	6.81278	5.61444	4.98780
32	3.18491	1.79777	8.47092	1.62608	15.70880	0.94915	1.31208	2.00817	-1.66333	3.56843	6.40209	0.81325	2.37303	0.45491	4.43155	3.77228	4.89276	7.92058	5.98570	9.62921	8.70469	10.11442	16.07651	15.45519	17.11915	14.59097	15.30216	3.73739	-0.74046	2.10898	0.14239	1.18674	-6.67322	0.56696	-1.73380	7.14252	6.85261	6.31835	5.29488
33	3.11670	1.68302	8.47797	1.57560	15.80338	0.80391	1.53862	2.04567	-1.26709	3.61471	6.51689	0.78287	2.35376	0.55403	4.37354	3.67082	4.63136	7.76324	6.20618	9.55040	8.63614	10.23386	16.17837	15.49127	16.98362	14.88063	15.48301	3.95256	-0.54926	2.45141	0.29979	1.66820	-6.26039	1.09077	-1.56693	7.47811	6.61859	6.39740	5.57344
34	3.02406	1.52937	8.49314	1.54552	15.75514	0.80677	1.71683	2.04079	-0.96861	3.58741	6.36269	0.89050	2.43538	0.64318	4.22834	3.49904	4.31434	7.66633	6.41369	9.48538	8.51991	10.38036	16.43753	15.57500	16.68114	14.70338	15.37864	4.13568	-0.32238	2.62544	0.42857	2.04948	-5.83460	1.38964	-1.47896	7.67633	6.13159	5.90500	5.73785
35	2.91749	1.33842	8.47032	1.45614	15.60289	1.00422	1.82449	1.99899	-0.77410	3.45335	6.09144	1.12647	2.70227	0.71356	3.95592	3.26852	3.94719	7.79975	6.57050	9.35940	8.25774	10.36418	16.70223	15.67534	16.25532	14.08644	15.29511	4.28328	-0.07377	2.58868	0.49979	2.27548	-5.38467	1.42081	-1.40800	7.77046	5.47583	5.41262	5.70685
36	2.83802	1.18592	8.34736	1.30171	15.67099	1.16239	1.85229	1.90547	-0.68822	3.20198	5.85353	1.29633	3.17436	0.77195	3.59703	3.00983	3.63694	8.18120	6.65709	9.07874	7.74253	10.07724	16.97215	15.73955	16.08243	13.79266	15.76818	4.31806	0.18029	2.37785	0.53296	2.28698	-4.92085	1.20549	-1.32452	7.74033	4.80004	5.32654	5.54719
